01_zh_idle|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=32 trays=0/0 undo=true redo=false hist=23
02_zh_selected|phase=IDLE panel=Selected(pieceId=w_pawn_e) selected=w_pawn_e save=SAVED hint=已选中 白方兵 · e2 board=32 trays=0/0 undo=true redo=false hist=23
03_zh_moved|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=已吸附到 e4 · 可撤销本次移动 board=32 trays=0/0 undo=true redo=false hist=24
04_zh_black_moved|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=已吸附到 d5 · 可撤销本次移动 board=32 trays=0/0 undo=true redo=false hist=25
05_zh_capture_preview|phase=IDLE panel=CapturePreview(attackerId=w_pawn_e, targetSquare=35) selected=w_pawn_e save=SAVED hint=移至 d5 · 将收纳黑方兵，然后移动白方兵。 board=32 trays=0/0 undo=true redo=false hist=25
06_zh_captured|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=黑方兵已收纳，白方兵已移至d5 board=31 trays=0/1 undo=true redo=false hist=26
07_zh_undo|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=32 trays=0/0 undo=true redo=true hist=26
08_zh_redo|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=31 trays=0/1 undo=true redo=false hist=26
09_zh_stored|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=白方兵已收纳 board=30 trays=1/1 undo=true redo=false hist=27
10_zh_tray_selected|phase=IDLE panel=Selected(pieceId=w_pawn_e) selected=w_pawn_e save=SAVED hint=已选中收纳区白方兵 · 选择空格放回 board=30 trays=1/1 undo=true redo=false hist=27
11_zh_restored|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=已吸附到 e4 · 可撤销本次移动 board=31 trays=0/1 undo=true redo=false hist=28
12_zh_settings_sheet|phase=IDLE panel=com.example.spatialchess.app.Panel$Settings@c76fdc4 selected=null save=SAVED hint=摆放模式下暂停棋子操作 board=31 trays=0/1 undo=true redo=false hist=28
13_zh_reset_dialog|phase=IDLE panel=com.example.spatialchess.app.Panel$Reset@f3b40c8 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=31 trays=0/1 undo=true redo=false hist=28
14_zh_promotion_panel|phase=IDLE panel=Promotion(pieceId=w_pawn_e) selected=null save=SAVED hint=选择升变棋种 · 可生成多枚同类棋子 board=29 trays=0/3 undo=true redo=false hist=32
15_zh_promoted|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=升变完成 · 已在e8生成白方王后 board=29 trays=0/3 undo=true redo=false hist=33
16_zh_orient_90|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
17_zh_orient_180|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
18_zh_scale_140|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
19_zh_scale_80|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
20_zh_coords_on|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
21_zh_save_failed|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=FAILED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
22_zh_help_sheet|phase=IDLE panel=Help(firstUse=false) selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
23_zh_placement_mode|phase=PLACEMENT panel=Anchor(firstTime=false) selected=null save=SAVED hint=移动棋盘至桌面 · 对齐底面后确认 board=29 trays=0/3 undo=true redo=false hist=33
24_zh_drag_g2_g4|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
25_view_left_front|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
26_view_right_front|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
27_view_top_down|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
28_view_black_side|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
29_view_side|phase=IDLE panel=com.example.spatialchess.app.Panel$None@bfefa58 selected=null save=SAVED hint=伸手抓住棋子，移动后松手吸附 board=29 trays=0/3 undo=true redo=false hist=33
